Country or Area,Year,Value
Croatia,1998,2110.759743
Croatia,1997,2461.970656
Croatia,1996,2267.632421
Croatia,1995,2269.307836
Croatia,1994,2347.074147
Croatia,1993,2308.280855
Croatia,1992,2706.188917
Croatia,1991,2694.867212
Croatia,1990,2853.386851
Cyprus,2019,255.3672913
Cyprus,2018,248.5035079
Cyprus,2017,246.4215587
Cyprus,2016,240.8540716
Cyprus,2015,232.5167911
Cyprus,2014,229.0347525
Cyprus,2013,230.1527469
Cyprus,2012,254.4906576
Cyprus,2011,260.624414
Cyprus,2010,274.4540896
Cyprus,2009,257.7237413
Cyprus,2008,264.4945281
Cyprus,2007,277.7474397
Cyprus,2006,285.3890037
Cyprus,2005,274.1810532
Cyprus,2004,301.4206379
Cyprus,2003,340.0867191
Cyprus,2002,343.5580516
Cyprus,2001,339.9563012
Cyprus,2000,308.0037259
Cyprus,1999,307.8314715
Cyprus,1998,316.9879682
Cyprus,1997,293.7632779
Cyprus,1996,299.9315264
Cyprus,1995,325.9598172
Cyprus,1994,285.4828755
Cyprus,1993,293.0238752
Cyprus,1992,286.91643
Cyprus,1991,256.1844989
Cyprus,1990,256.4679158
Czechia,2019,5555.126053
Czechia,2018,5850.48104
Czechia,2017,6206.833691
Czechia,2016,6278.519315
Czechia,2015,6129.833772
Czechia,2014,5732.910112
Czechia,2013,5624.274574
Czechia,2012,5851.178723
Czechia,2011,5994.653951
Czechia,2010,5353.91471
Czechia,2009,5473.977346
Czechia,2008,6314.83773
Czechia,2007,6243.752198
Czechia,2006,6186.983421
Czechia,2005,6307.495744
Czechia,2004,6458.571359
Czechia,2003,5789.595424
Czechia,2002,6279.547206
Czechia,2001,6679.478982
Czechia,2000,6441.907894
Czechia,1999,6016.475145
Czechia,1998,6214.287562
Czechia,1997,6326.724011
Czechia,1996,6355.98863
Czechia,1995,6592.944567
Czechia,1994,6295.144832
Czechia,1993,6396.084302
Czechia,1992,7133.266937
Czechia,1991,7966.072748
Czechia,1990,9295.813504
Denmark,2019,5519.943122
Denmark,2018,5336.147265
Denmark,2017,5585.902862
Denmark,2016,5500.452212
Denmark,2015,5380.760101
Denmark,2014,5352.436868
Denmark,2013,5272.459616
Denmark,2012,5278.77185
Denmark,2011,5379.748787
Denmark,2010,5381.712314
Denmark,2009,5469.552749
Denmark,2008,5715.255155
Denmark,2007,5711.848876
Denmark,2006,5531.731531
Denmark,2005,5684.803948
Denmark,2004,6300.472365
Denmark,2003,6591.2587
Denmark,2002,6729.624506
Denmark,2001,6842.322043
Denmark,2000,7050.539982
Denmark,1999,7141.921574
Denmark,1998,7119.163495
Denmark,1997,7115.788554
Denmark,1996,7074.324555
Denmark,1995,7444.476983
Denmark,1994,7510.121411
Denmark,1993,7565.907848
Denmark,1992,7827.299986
Denmark,1991,8081.729275
Denmark,1990,8239.009042
Estonia,2019,976.4705303
Estonia,2018,912.7917616
Estonia,2017,921.0231018
Estonia,2016,888.3350686
Estonia,2015,916.8658865
Estonia,2014,893.7673076
Estonia,2013,860.3461503
Estonia,2012,856.9223207
Estonia,2011,806.9467868
Estonia,2010,793.9021768
Estonia,2009,778.9168241
Estonia,2008,832.4606756
Estonia,2007,775.1175806
Estonia,2006,717.6688637
Estonia,2005,732.6576496
Estonia,2004,730.3204832
Estonia,2003,697.7751587
Estonia,2002,655.9854878
Estonia,2001,682.2710274
Estonia,2000,679.2789858
Estonia,1999,661.5920289
Estonia,1998,751.3554002
Estonia,1997,728.9682461
Estonia,1996,722.0582604
Estonia,1995,760.7458881
Estonia,1994,836.3290495
Estonia,1993,927.6338883
Estonia,1992,1184.249669
Estonia,1991,1427.561872
Estonia,1990,1468.644982
European Union,2019,236253.0091
European Union,2018,238354.0393
European Union,2017,242403.4667
European Union,2016,237999.2358
European Union,2015,238684.2146
European Union,2014,238842.4376
European Union,2013,235576.1188
European Union,2012,235222.2356
European Union,2011,236753.7642
European Union,2010,242102.8366
European Union,2009,252207.6446
European Union,2008,266695.7348
European Union,2007,278404.3425
European Union,2006,276652.8136
European Union,2005,287986.7358
European Union,2004,294485.2359
European Union,2003,290105.938
European Union,2002,293074.1629
European Union,2001,304877.3367
European Union,2000,307003.3063
European Union,1999,309616.6581
European Union,1998,330328.7539
European Union,1997,352236.1586
European Union,1996,355521.5267
European Union,1995,349365.8348
European Union,1994,348187.4268
European Union,1993,344890.4929
European Union,1992,355209.6248
European Union,1991,370248.4185
European Union,1990,388665.3925
Finland,2019,4830.688202
Finland,2018,4695.165415
Finland,2017,4734.637505
Finland,2016,4746.326283
Finland,2015,4754.902628
Finland,2014,4718.830784
Finland,2013,4663.320636
Finland,2012,4642.570171
Finland,2011,4652.020361
Finland,2010,4784.28169
Finland,2009,5190.641057
Finland,2008,6078.724672
Finland,2007,5920.936919
Finland,2006,5850.440375
Finland,2005,6036.277224
Finland,2004,5954.093627
Finland,2003,5863.700591
Finland,2002,5735.990627
Finland,2001,5699.776823
Finland,2000,5809.397091
Finland,1999,5731.847542
Finland,1998,5792.472617
Finland,1997,5971.161897
Finland,1996,5950.523688
Finland,1995,5903.067287
Finland,1994,5877.962498
Finland,1993,5767.847831
Finland,1992,5601.556764
Finland,1991,6031.381912
Finland,1990,6361.371085
France,2019,38792.99034
France,2018,39219.76398
France,2017,40874.56281
France,2016,39487.18652
France,2015,40609.32871
France,2014,40748.43482
France,2013,39823.38736
France,2012,39878.43827
France,2011,39609.94841
France,2010,41177.10057
France,2009,43339.77178
France,2008,44897.30776
France,2007,45644.25537
France,2006,45603.18097
France,2005,47018.6627
France,2004,47937.02929
France,2003,49613.36267
France,2002,51416.69259
France,2001,54185.65698
France,2000,54480.63817
France,1999,55567.2832
France,1998,61460.80109
France,1997,68134.63436
France,1996,68226.69906
France,1995,66727.80573
France,1994,65190.43552
France,1993,65079.91729
France,1992,65827.18724
France,1991,66138.77393
France,1990,65570.3491
Germany,2019,35121.90597
Germany,2018,35807.81625
Germany,2017,37607.47315
Germany,2016,38237.88047
Germany,2015,38431.7744
Germany,2014,38598.53654
Germany,2013,37738.38047
Germany,2012,37502.02567
Germany,2011,37116.9467
Germany,2010,37001.92178
Germany,2009,45072.29351
